ID,Week,Block,Rep,Hatch,Box,Isolation,DaysIso,Maturation,Trials I,#I,TDur,AvDur,T1,1#I,1IDur,1#E,1EDur,T2,2#I,2IDur,2#E,2EDur,T3,3#I,3IDur,3#E,3EDur,#E,TDurE,AvDurE,I1,I2,I3,E1,E2,E3,I,E,IC,EC,F1 HATCH,F1 BOX,F2 HATCH,F2 BOX,F3 HATCH,F3 BOX,F#,Mated,Agg,Aggb,Unsuc Att,Ig F Att,No Att
18-D,3,18,D,13/12/2019,5,18/02/2020,14,03/03/2020,3,3,25,8.3,68,1,9,0,0,79,1,12,0,0,121,1,4,1,1,1,1,0,1,1,1,0,0,1,111,1,3,1,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
19-A,3,19,A,13/12/2019,6,18/02/2020,14,03/03/2020,3,4,16,4,57,1,3,0,0,100,1,7,0,0,114,2,6,1,2,1,2,1,1,1,1,0,0,1,111,1,3,1,15/11/2019,2,06/12/2019,4,-,-,2,1,0,0,0,0,1
19-B,3,19,B,15/11/2019,1,25/02/2020,7,03/03/2020,0,0,0,0,57,0,0,1,3,84,0,0,0,0,124,0,0,0,0,1,3,1,0,0,0,1,0,0,0,100,0,1,06/12/2019,3,-,-,-,-,1,1,0,0,0,0,0
19-C,3,19,C,15/11/2019,1,18/02/2020,14,03/03/2020,0,0,0,0,61,0,0,1,6,100,0,0,1,7,124,0,0,0,0,2,13,4,0,0,0,1,1,0,0,110,0,2,15/11/2019,1,06/12/2019,4,-,-,2,1,0,0,0,0,0
19-D,3,19,D,13/12/2019,6,18/02/2020,14,03/03/2020,2,2,8,4,61,1,6,0,0,84,0,0,0,0,114,1,2,2,6,2,6,2,1,0,1,0,0,1,101,1,2,1,06/12/2019,3,15/11/2019,1,15/11/2019,1,0,0,3,1,0,1,0
20-A,3,20,A,15/11/2019,2,18/02/2020,14,03/03/2020,1,1,5,5,67,0,0,0,0,91,1,5,0,0,125,0,0,2,6,2,6,2,0,1,0,0,0,1,10,1,1,1,13/12/2019,5,06/12/2019,4,-,-,2,1,0,0,1,0,0
20-B,3,20,B,13/12/2019,6,18/02/2020,14,03/03/2020,1,1,15,15,67,0,0,0,0,81,0,0,1,15,113,1,15,0,0,1,15,5,0,0,1,0,1,0,110,10,1,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
20-C,3,20,C,13/12/2019,6,18/02/2020,14,03/03/2020,0,0,0,0,56,0,0,2,15,91,0,0,1,5,113,0,0,1,15,4,35,12,0,0,0,1,1,1,0,111,0,3,13/12/2019,5,13/12/2019,5,13/12/2019,6,0,0,1,1,0,2,0
20-D,3,20,D,15/11/2019,2,18/02/2020,14,03/03/2020,3,5,36,7.2,56,2,15,0,0,81,1,15,0,0,125,2,6,0,0,0,0,0,1,1,1,0,0,0,111,0,3,0,13/12/2019,5,06/12/2019,4,13/12/2019,5,3,1,0,0,0,1,1
21-A,3,21,A,06/12/2019,4,25/02/2020,7,03/03/2020,2,3,65,21.7,73,0,0,0,0,98,1,34,0,0,126,2,31,0,0,0,0,0,0,1,1,0,0,0,11,0,2,0,15/11/2019,1,15/11/2019,1,-,-,2,1,0,0,1,0,0
21-B,3,21,B,13/12/2019,6,18/02/2020,14,03/03/2020,0,0,0,0,73,0,0,0,0,85,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/12/2019,3,15/11/2019,1,15/11/2019,1,0,0,1,1,0,0,2
21-C,3,21,C,13/12/2019,5,18/02/2020,14,03/03/2020,0,0,0,0,66,0,0,0,0,98,0,0,1,34,106,0,0,0,0,1,34,11,0,0,0,0,1,0,0,10,0,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
21-D,3,21,D,13/12/2019,5,18/02/2020,14,03/03/2020,0,0,0,0,66,0,0,0,0,85,0,0,0,0,126,0,0,2,31,2,31,10,0,0,0,0,0,1,0,1,0,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
22-A,4,22,A,06/12/2019,4,25/02/2020,9,05/03/2020,2,3,40,13.3,132,0,0,0,0,136,1,24,0,0,143,2,16,0,0,0,0,0,0,1,1,0,0,0,11,0,2,0,13/12/2019,5,15/11/2019,1,13/12/2019,5,0,0,0,0,2,1,0
22-B,4,22,B,13/12/2019,5,15/02/2020,19,05/03/2020,0,0,0,0,132,0,0,0,0,138,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/12/2019,3,-,-,-,-,1,1,0,0,0,0,0
22-C,4,22,C,06/12/2019,4,25/02/2020,9,05/03/2020,0,0,0,0,127,0,0,0,0,136,0,0,1,24,142,0,0,0,0,1,24,8,0,0,0,0,1,0,0,10,0,1,06/12/2019,4,13/12/2019,5,-,-,2,1,0,0,1,0,0
22-D,4,22,D,15/11/2019,1,25/02/2020,9,05/03/2020,0,0,0,0,127,0,0,0,0,138,0,0,0,0,143,0,0,2,16,2,16,5,0,0,0,0,0,1,0,1,0,1,06/12/2019,4,-,-,-,-,1,1,0,0,0,0,0
23-A,4,23,A,13/12/2019,6,18/02/2020,16,05/03/2020,2,3,37,12.3,130,2,27,0,0,137,0,0,1,8,139,1,10,0,0,1,8,3,1,0,1,0,1,0,101,10,2,1,06/12/2019,3,-,-,-,-,1,1,0,0,0,0,0
23-B,4,23,B,15/11/2019,2,25/02/2020,12,08/03/2020,1,1,16,16,130,0,0,2,27,135,1,16,1,17,141,0,0,2,17,5,61,20,0,1,0,1,1,1,10,111,1,3,06/12/2019,4,13/12/2019,5,15/11/2019,1,0,0,0,0,1,1,1
23-C,4,23,C,06/12/2019,3,28/02/2020,6,05/03/2020,3,5,51,10.2,128,2,26,1,1,137,1,8,0,0,141,2,17,0,0,1,1,0,1,1,1,1,0,0,111,100,3,1,06/12/2019,4,-,-,-,-,1,1,0,0,0,0,0
23-D,4,23,D,13/12/2019,5,25/02/2020,9,05/03/2020,2,2,18,9,128,1,1,2,26,135,1,17,1,16,139,0,0,1,10,4,52,17,1,1,0,1,1,1,110,111,2,3,06/12/2019,4,-,-,-,-,1,1,0,0,0,0,0
24-A,4,24,A,13/12/2019,5,25/02/2020,9,05/03/2020,0,0,0,0,129,0,0,0,0,134,0,0,1,3,144,0,0,2,16,3,19,6,0,0,0,0,1,1,0,11,0,2,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
24-B,4,24,B,15/11/2019,1,25/02/2020,9,05/03/2020,0,0,0,0,129,0,0,0,0,133,0,0,1,17,140,0,0,1,10,2,27,9,0,0,0,0,1,1,0,11,0,2,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
